model,MAE,RMSE,MAPE,R2
dhr_arma,82.23769159036084,123.29715608932644,8.615486290361416,0.9918059767642018
lstm,109.6629182951791,156.12336126040006,14.656814979723244,0.9868620725923883
transformer,164.32947201955886,231.5952838026872,20.56301903334485,0.9710898400457004
